Gene,adj_F_pval_well
PPIB,1.2847268512253684e-18
SLCO3A1,1.3644776829066663e-18
ABI3,1.3712181807568518e-18
IL32,1.4570303403674372e-18
SMCO4,1.935858667115114e-18
TYROBP,1.986845047017052e-18
MIR31HG,2.7870160838235603e-18
MGLL,3.2854305763328166e-18
SAMD3,9.01291524256117e-18
SERINC5,1.2188635126208483e-17
BCL2,1.3703380812853196e-17
HOXB2,1.5156459827637595e-17
RIPOR2,1.5550571925744442e-17
PRF1,1.7607943195401945e-17
RCBTB2,1.8674923508040757e-17
ADGRG5,1.9314985171146808e-17
DUSP4,1.9770735740209858e-17
PASK,2.188285595831045e-17
RPL14,2.4707326621562884e-17
RPL32,2.796245200473199e-17
CD8B,3.206892727657818e-17
AL138720.1,3.8860863653021603e-17
SSR4,4.748320715847353e-17
TRG-AS1,5.1213973932817705e-17
PFN1,5.756896019783534e-17
PRKCA,1.2998832098916277e-16
ARG2,1.42384633906626e-16
RPS12,1.4429346887078907e-16
RPL19,1.5749470646365747e-16
GPAT2,1.938954537859801e-16
ANK1,1.9646496818720682e-16
ACP5,2.2807945101868e-16
CLIC1,2.603122999902388e-16
NEBL,2.6107259248803983e-16
RPS26,3.1804455650883064e-16
EEF1A1,3.2803456613439223e-16
NCAM1,4.3704657269363064e-16
RAC2,4.506495976733123e-16
STK38,4.86749740501526e-16
RPS23,1.1974689937202648e-15
LINC02694,1.3007455587099033e-15
CFL1,1.988142731793496e-15
RASA3,2.000937924683775e-15
BCL11B,2.164228694236697e-15
AC069277.1,2.5211873085878963e-15
PECAM1,3.3780030662411444e-15
MSN,4.56176774588314e-15
CACNA2D4,4.9796045571982176e-15
KLRC3,1.1697370862372706e-14
IMMT,1.456654416870403e-14
AIF1,1.5543146936376867e-14
RAMP1,1.62802428975116e-14
VCL,1.6293034869780413e-14
TPI1,2.3446203895515634e-14
PLEKHO1,2.371040531576488e-14
LYST,2.5890147660679e-14
IFITM1,3.012852252254497e-14
RPS3A,3.23163068900643e-14
GZMA,3.805273352808461e-14
PYHIN1,4.12323196254235e-14
FTL,4.349352964388982e-14
SEC61B,5.1475289868706984e-14
BST2,5.272844216484811e-14
RAB27B,9.712349140715837e-14
PRKCQ-AS1,1.2201199160291768e-13
AHI1,1.469680167425976e-13
RPL18,1.584639799075522e-13
NOSIP,1.585292175170656e-13
ANXA2,1.7293117773865763e-13
LRRC32,1.7617856175237844e-13
WNT11,1.826780429806475e-13
AC119396.1,3.254205846813582e-13
RPS28,3.3230829783220403e-13
RPS27A,3.511563867880886e-13
PDE3B,5.46198997439341e-13
TESPA1,5.880419394039881e-13
PDCD4,6.401944197939977e-13
RNF138,6.72709016388115e-13
LPAR5,6.813992311855142e-13
CSGALNACT1,7.104531512460223e-13
CD48,9.802407048679253e-13
ACTR3,1.1275953810588816e-12
DLC1,1.1864123069173295e-12
SIRPG,1.1938962938164326e-12
SAMSN1,1.4295340650815772e-12
PTPN20,1.8725020688637334e-12
RPLP2,1.9549876797779804e-12
CD5,2.2853820831561544e-12
S1PR4,3.0895875500058967e-12
ZFP36L2,3.3740572013510306e-12
CLDND1,3.4539802410505023e-12
CDK6,3.713438690679222e-12
EGR1,3.907358932446788e-12
PIM1,4.2702778530404056e-12
NQO1,4.621786409098345e-12
FASLG,4.649155778434073e-12
CD74,4.682100028496074e-12
MT-CO3,5.478649594648408e-12
FILIP1L,6.409406937937436e-12
HLA-A,7.043905618791351e-12
CD28,7.833848946216317e-12
B3GNT5,7.86219765987507e-12
KRAS,8.116334158066971e-12
HDX,9.503027307039812e-12
SELL,1.088335963392734e-11
LAG3,1.1922930161566887e-11
STAT1,1.2847518474590975e-11
SLFN5,1.4702422615802094e-11
TMEM121,1.6302978437091023e-11
CD82,1.662703765250117e-11
SH2D1A,1.9893780516794403e-11
NCR3,1.9917638671743738e-11
C3orf14,2.118720763150239e-11
MYL6,2.5172542118440757e-11
CBLB,2.6949554453697214e-11
AFAP1L2,2.8420374702405606e-11
SORL1,2.8469892403430782e-11
GNPTAB,3.062380146658208e-11
PLAAT3,3.0682898756133834e-11
S100A11,3.1504466535846e-11
SYCP2,3.174084144517503e-11
UBALD2,4.085377652937634e-11
CD6,5.216109263821049e-11
AGAP9,6.92698668395613e-11
RPS25,8.371960471905461e-11
DOCK8,9.988243031799863e-11
DDX43,1.0068809093008334e-10
XCL2,1.0206869470445783e-10
TC2N,1.0799708744769905e-10
LDHB,1.1525677996077592e-10
FCMR,1.1667484578681104e-10
HNRNPA1,1.396986057009315e-10
DENND5B,1.4308520367479249e-10
PAX8-AS1,1.52278104206906e-10
IQGAP2,1.5462523883166426e-10
ARHGAP9,1.9468608064164577e-10
CCDC152,2.14074152113051e-10
GPR183,2.2399666807436562e-10
ZDHHC14,2.2540105114491515e-10
NKG7,2.2919280437031553e-10
SLC39A8,2.543553028701922e-10
CMTM8,2.562579813175262e-10
SERP1,2.5774404947468135e-10
TNFRSF4,2.5801701354789094e-10
TNFRSF1B,2.5970411261528764e-10
SATB1,3.9192133146807897e-10
GSTK1,3.968559104477383e-10
EOMES,4.113502315177966e-10
MIR155HG,6.414298242890693e-10
PLCB1,6.594215413142859e-10
MHENCR,6.902847670102632e-10
SLC41A1,8.512954408810278e-10
JUNB,9.046146418578238e-10
PCSK1N,9.498901098798557e-10
CSF2,1.1942540613431386e-09
PRKAR1B,1.2042816447355647e-09
GNG5,1.2064403650165886e-09
GYG1,1.3066401858206162e-09
F2R,1.4346313176644129e-09
RGS1,1.6461474460975916e-09
ICAM2,1.684850577445749e-09
APBA1,1.9456201346806244e-09
GPRC5D-AS1,2.0913138595355213e-09
MAML3,2.262527974534818e-09
HLA-DQB1,2.305948698803261e-09
ITGB7,2.512401624722265e-09
KLRK1,2.515505948328571e-09
CCL4,2.552889216281463e-09
ZBTB16,2.633122853579505e-09
SORBS3,2.6852743346525595e-09
AC068774.1,2.9327143251936794e-09
TMEM273,3.479087460620316e-09
CD99,3.5154316564008413e-09
RPS3,3.5481505150135983e-09
SEC11C,4.093835628353355e-09
PDE4D,4.37281698896353e-09
TPM4,4.514704555194419e-09
COL9A2,4.927465932308087e-09
ITGA4,5.057843235403442e-09
ISG15,5.199975643372022e-09
SMAD5,6.803118194028976e-09
CD8A,6.830361284053223e-09
SMIM3,7.012033401270113e-09
KLF6,7.394709256879713e-09
DAPK2,7.581566091094058e-09
MT-CO1,7.583183714205831e-09
DUXAP8,8.148312211436424e-09
ITM2B,8.407102569856476e-09
H3F3B,8.986437756400588e-09
CLIC3,9.938630188184967e-09
IGFLR1,1.0518975763281845e-08
DDIT4,1.062108869215017e-08
RPS6KA5,1.1124700430795756e-08
ENO1,1.1292631097809539e-08
SLCO4A1,1.259575120286303e-08
HLA-DRA,1.2912650905726063e-08
PTGIS,1.359805559065491e-08
MDFIC,1.4082281064951782e-08
TEX30,1.4546838284738884e-08
BCL2L11,1.4702172385376703e-08
HMGB2,1.4927436420311187e-08
DBI,1.5668095589632283e-08
LEPROTL1,1.6479864042217994e-08
LPXN,1.7029288389742328e-08
RASGRP3,1.7110175543643317e-08
PRR5,1.9750269602207932e-08
PRKCH,2.3061603603769794e-08
BIN2,2.6067719368983088e-08
PCLAF,2.683697160275276e-08
RBMS1,2.8840654098787215e-08
CD69,3.079471809583065e-08
APBB1IP,3.2197167163621636e-08
MAP3K8,3.2375292943372646e-08
ARF6,3.2967353202196807e-08
RFTN1,3.3119192809184824e-08
TAGLN2,3.387367776152517e-08
SOS1,3.468841103357852e-08
FAM107B,3.7041773257793795e-08
GIMAP7,5.0412621448629715e-08
SYNE2,5.212064676171064e-08
LINC01980,6.262776911414057e-08
LAPTM5,6.299350397059012e-08
FCER1G,7.291886009208899e-08
COX8A,7.408146464163522e-08
COTL1,7.647639928227276e-08
SPRY2,7.765717504504691e-08
AC011997.1,8.224484928330698e-08
NLRP2,8.280922610030337e-08
LIMA1,8.949779415182733e-08
CD81,1.0006110414369945e-07
RTF2,1.0131672190716464e-07
TPT1,1.0194900949516761e-07
GPR174,1.1472452711227653e-07
SYTL2,1.2382344513880438e-07
LAT2,1.365259379012925e-07
AP005482.1,1.425499758826959e-07
CORO1A,1.4605985106857337e-07
RASGRP1,1.5263624996481825e-07
LINC01876,1.5476300904547643e-07
RPLP1,1.6899838219287938e-07
CALR,1.7529558187121314e-07
INPP4B,1.7839189501727457e-07
PPP1CA,1.9815226957172343e-07
GBP4,2.151219035047885e-07
TTN-AS1,2.266449762353988e-07
PDIA3,2.335360908842156e-07
RACK1,2.3367403347330975e-07
NACA,2.4121915927427123e-07
ZFP36L1,2.608843764252248e-07
RPL29,2.830100874482068e-07
RPL9,2.8330241097299237e-07
GPX4,2.880324999098437e-07
C16orf54,2.9344864215326994e-07
RPL11,2.9541755493091685e-07
BHLHE40,2.977978970732024e-07
RPL15,2.9957968561588603e-07
SLC27A3,3.0281070693936384e-07
RPS6,3.1559976343315055e-07
SUOX,3.5327682900369553e-07
CTSH,3.6452546498391713e-07
RASGRP2,3.702822015745411e-07
ETNK1,3.749608504341635e-07
RPSA,3.816074679323196e-07
TNFSF12,4.033971269139065e-07
MATK,4.073259511902451e-07
KRT86,4.132834569821219e-07
NCOA1,4.2053819741328405e-07
ARID5B,4.237390873663866e-07
WDR1,4.298284127826411e-07
NEDD9,4.367349065552947e-07
MPZL2,4.468819434852922e-07
RUNX1,4.539018413982987e-07
HECW2-AS1,4.78013433389343e-07
LAIR2,5.648182105073536e-07
GTF3A,5.894586739509198e-07
CD40LG,6.016378882861532e-07
APBB2,6.603808424559696e-07
CD7,6.814051630859358e-07
SLC37A3,6.888459279213745e-07
ADAMTS17,7.167604840948543e-07
PTPRN2,7.25991257341067e-07
H2AFZ,7.346153068824219e-07
HLA-DPB1,8.266553698085743e-07
UBB,9.258596363617326e-07
GIMAP4,9.411040779024944e-07
OSTF1,9.916011585603675e-07
CALCOCO2,1.0088501622300142e-06
FOS,1.0268253143147034e-06
C12orf75,1.1350797391303722e-06
DOCK5,1.138811658546254e-06
CSF2RB,1.1897251002467824e-06
ALDOA,1.3845556738277861e-06
AC093865.1,1.4133762579419267e-06
CD38,1.4343913516696266e-06
TYMS,1.4843578138112815e-06
STK4,1.4889236962510917e-06
PREX1,1.5245929390287645e-06
RPL22,1.530071920364914e-06
AL138828.1,1.546790826202723e-06
EEF2,1.6025183929543257e-06
ABLIM1,1.607099419216529e-06
ZWINT,1.6179495186023343e-06
PXN,1.8430751905624938e-06
EFHD2,1.9687695856950106e-06
IL17RB,2.2295947851212246e-06
RPS15A,2.326678753758093e-06
SLF1,2.3707038119048726e-06
MYO1E,2.4621891792582596e-06
NDUFS8,2.5625954525135525e-06
GZMM,2.6261498768157078e-06
RNFT2,2.845771112322272e-06
RPS4X,2.9463125656861266e-06
TPM3,3.1924546570984977e-06
FGFBP2,3.2125005000868017e-06
TNF,3.2226018949826693e-06
PLA2G4A,3.2272478319038635e-06
AKR1C3,3.227735561177504e-06
ARPC2,3.7138693361778882e-06
TXN,3.872042409961487e-06
ATAD3C,4.031083453725167e-06
CARS,4.247418165566045e-06
GATA3,4.5033163344587275e-06
HLA-C,4.8268049647414044e-06
TMSB10,5.079096210135109e-06
SQSTM1,5.200232799053691e-06
IGF1,5.269396046762912e-06
RPL36,5.29094471597719e-06
RPL36AL,5.326363280111706e-06
TUBA1B,5.371201543721537e-06
TGFBR3,5.382570334814874e-06
LINC00861,5.435448020064659e-06
TANK,5.445411007096997e-06
TUBB,5.47386698272782e-06
SLC44A5,5.9143988695084625e-06
CALHM2,5.966523408497053e-06
ACAA2,6.270793550298565e-06
ST6GAL1,6.507052123901173e-06
NFKBIA,7.456088573158655e-06
KRT7,7.495129857611765e-06
TTN,7.777115383686945e-06
SEPTIN1,8.234138441016586e-06
ARHGDIB,9.149569142646044e-06
RGS10,9.251547358560994e-06
RPLP0,9.382630459509715e-06
SHMT2,1.0197937130088015e-05
PPIA,1.0898977156510314e-05
CYBA,1.0961458630070627e-05
RPL26,1.1711086660533306e-05
KIAA1324L,1.2092648767841863e-05
MED15,1.2262234725108738e-05
LGALS3,1.2465183763851876e-05
MKI67,1.2668597999306226e-05
SNED1,1.7225201003505373e-05
MCM5,1.7534947972218893e-05
KIR2DL4,1.7925121127512295e-05
FKBP2,2.0109536137273015e-05
EEF1B2,2.08638185346091e-05
DHCR24,2.1283201428458192e-05
SMAD2,2.4483638764630297e-05
IL2RA,2.4659301825833382e-05
C12orf57,2.596419184673799e-05
GADD45G,2.675578358317778e-05
EPB41,2.731862303123948e-05
PRELID1,2.8519989916081746e-05
UBE2L6,2.8640209093180206e-05
VAMP5,3.0560816400417225e-05
CALM3,3.098185126495522e-05
NR3C1,3.1871755177510186e-05
LINC00996,3.6340176849919706e-05
AC068756.1,3.640040174239179e-05
SEC61G,3.919911153656348e-05
PLCL1,4.0693443205303687e-05
S100P,4.1241641058092725e-05
AGTRAP,4.2424906246686844e-05
ADD3,4.3153778162535526e-05
HLA-DQA1,4.3786300403956814e-05
HIC1,4.605318045393898e-05
TIMP1,4.644000412468072e-05
CD70,4.6571326381862257e-05
CD9,4.6903288111418046e-05
NCOA3,4.8100109013883285e-05
SFXN1,4.9549795740081164e-05
TCIRG1,4.958620105645331e-05
LPAR6,5.0205045782602845e-05
IL13,5.1422972456977814e-05
DUSP10,5.4459887810562515e-05
CMTM6,5.7381296088658615e-05
ITGAX,5.800525980555835e-05
ITGB2,5.8677220732105344e-05
SEM1,5.898529083633973e-05
PGAM1,6.057220338766357e-05
LAPTM4B,6.220003987880308e-05
ANK3,6.318117027570561e-05
GNG8,6.328993059255722e-05
SYNGR2,6.398120990454398e-05
CAPN12,6.615246114755485e-05
RPS15,6.737958192626213e-05
RPL10A,6.777727588090964e-05
AGPAT4,6.850847619590675e-05
BLVRA,6.861196702712588e-05
MCTP2,7.043297013686713e-05
INPP4A,7.198601177479683e-05
MZB1,7.331564316731114e-05
LINC01967,7.525126534818758e-05
DOCK10,7.648443112951984e-05
SELPLG,8.046049569912582e-05
AC068587.4,8.948390260881473e-05
CDKN2D,9.081384837322063e-05
MGST3,9.094630962120727e-05
SNRNP25,9.306778628236814e-05
BTG1,9.445420250392352e-05
HTATSF1,0.00010229153175771065
AC243829.4,0.00010307538885037089
PAM,0.00010330022686694712
STMN1,0.0001044376534306779
LSR,0.00010543953167432457
CDCP1,0.00010637881021085215
DNAJB9,0.00010692639089109648
CD244,0.0001088606447591478
MT-CYB,0.00011359804596314099
RPL35A,0.00011598838538461936
PARVG,0.00011836443939800346
H2AFV,0.00011906265217973618
ISG20,0.00011907383874359654
NDN,0.00012094121954514298
PLPP5,0.00012249474614945655
LINC02245,0.0001281405490241308
PSME2,0.0001293140136236352
RPL35,0.00013547587212934438
RNF157,0.00013981245911861168
OR3A2,0.0001411019330656585
RPS24,0.0001507639261516835
PTPRCAP,0.0001642422675242865
NAP1L4,0.0001657247999031268
SERPINE2,0.00016953243463633483
IL2RB,0.00017264061855613033
SRP14,0.0001727112523422535
APOC2,0.00020514729905842316
EIF4A1,0.00021566588644386731
MYDGF,0.00023611763973387283
SCPEP1,0.00023680841671399033
PTAR1,0.0002394990261232821
CDC25B,0.00025236101990743024
SAMHD1,0.0002587927810005737
BTG2,0.00026329218058804776
GSTO1,0.00027036647573173213
AFDN,0.0002724748544824337
GBP2,0.0002817214450498492
AHRR,0.0002945155220538353
SPOCK2,0.00029548475582182157
VAMP2,0.00029787683952066667
HSP90AA1,0.0003183581389067076
CACYBP,0.00034015007114554
KAT2B,0.0003440654132975408
MT1F,0.0003568587080077746
SPTLC2,0.00036591326862274015
CAPZB,0.00036802202387594107
CAMK4,0.0003860017743507888
TIMD4,0.0003992546370014891
RAB27A,0.00041609446888261735
AC246817.2,0.00042714085461259115
GMFG,0.0004389533713888056
RGCC,0.0004481348466182993
CSTB,0.00047198384905153935
JAK2,0.00047741217356597434
RANBP1,0.0004875859532712203
MIB1,0.0004983682643958687
PPP1R16B,0.0005589389161120978
NHS,0.0005622061316821118
BANF1,0.0005693774078882739
FP236383.3,0.0005699496308433627
GAB3,0.0005892142045244555
RPL7,0.0006013061188930507
ROMO1,0.0006056107151487063
SYTL3,0.0006102667674194263
SLC25A5,0.0006141292335394097
SOCS3,0.0006444279062200972
LITAF,0.0006491801897935901
CTSC,0.0006589700004239677
GAS5,0.000683753441470384
AC078881.1,0.0006969166396110393
TLN1,0.000699035452225567
IL10RA,0.0007032164893166705
CAMK1,0.0007176740411292874
CD27,0.0007316395634924675
PYCARD,0.000751351677095996
FAM3C,0.0007622608088340698
RUNX2,0.0007657163838292191
TP53I3,0.0007828279343845344
GPI,0.0008321651846002505
PRKCQ,0.0008448210162174184
EIF3L,0.0008930320437542457
CDT1,0.0009100124611903137
CHCHD2,0.0009102967608717526
STK17B,0.0009623145476392273
NDUFA4,0.0009636908700519063
CISH,0.0009715815614635664
PIH1D1,0.001007967360557233
SSR3,0.0010137885989830245
PRR5L,0.0010477435073751667
PLEK,0.0010790012306541837
LCP1,0.0010896412506294151
SNRPF,0.001139501177203524
ITGAL,0.0011449898587709867
LBH,0.0011661970350021129
GNG2,0.0011693806121765564
CLTA,0.001203483143268492
MAP1LC3A,0.0012313053247503042
ERVMER61-1,0.0012335441763318806
CPNE8,0.0012528836345306897
CARD11,0.0012780700858086335
AC017002.3,0.0012924972437275875
PTPRK,0.0013240687004391091
THEMIS,0.0013408964828626835
RAC1,0.0013787283130085482
NT5DC2,0.0014327813586841275
TMTC2,0.001459836864112272
PER3,0.0014684933287943034
MT-CO2,0.0014786341067388237
CDKN2B,0.0015209291295960434
EML4,0.0015487074004068436
UBE2L3,0.0015665741384403584
STAP1,0.0016147235332714587
MZT2A,0.001654293444168271
PIK3IP1,0.001758133163514602
NSMCE1-DT,0.00177404162780536
DENND1B,0.0018179046163236397
RPL17,0.001819961632182656
TENT5C,0.0018384498593561145
GOLIM4,0.001857328588379634
IRF9,0.0018694752375641597
LMAN1,0.0018727099444866924
PSTPIP2,0.00192496316055993
DEK,0.0019703728724930363
MSRA,0.0019890933395736066
PTTG1,0.0019942108897891874
PRDM2,0.0020152847528640016
CARHSP1,0.0020385094723157104
EGFL6,0.002045154160763518
OTULINL,0.0021182844710388735
TMEM258,0.0022440750685771846
MMP25-AS1,0.0023723408161482598
IKZF1,0.002441299143703349
HNRNPA2B1,0.0025027413596745204
ANP32A,0.0025454553226345457
GLB1,0.002597016673177129
FUT8,0.0027458042673531415
PERP,0.0028351645760470562
TM6SF1,0.0029313643566243304
LYN,0.003081243616308622
FLNB,0.003122186429088997
FYN,0.0032135322102925966
ATXN1,0.0032251917802825925
NUDT5,0.0033417313705000227
ADORA2A,0.00336165280095844
RHOA,0.0034335394246790955
SH3BP1,0.00358275611927643
SEC11A,0.00363743462291108
NUDT21,0.0036921721768236543
LINC02156,0.003727627073459366
CXorf40B,0.003772728745219999
CD53,0.003843639601424544
ITGB5,0.0038555701263638365
FAM120A,0.003912910748247592
INPP5D,0.003980612778736079
RPL8,0.00400003590193032
RIN3,0.004000297392895044
MKRN3,0.004030766661255448
LINC01684,0.00404493873458709
HIP1,0.004072648001834757
RPS21,0.0042717598364505685
RPL4,0.004379944273288039
NME2,0.004396543360464727
PIP5K1B,0.004434173184160528
AHR,0.004545293079246726
EDF1,0.00483744788674178
SPTBN1,0.0049802905185115315
POMC,0.00518401847480139
MZT2B,0.005451561741475151
CLSPN,0.005488697902762903
PTP4A3,0.005511327914044674
RAB8B,0.005673065647390552
PTMA,0.0056735598604680275
RPS5,0.005782566146166127
TSC22D3,0.005849208733177984
PA2G4,0.005948970389253626
PNRC1,0.006000523228086726
ARRB1,0.006187897673540376
ADGRG1,0.006489695397971061
PLSCR1,0.006554891501902299
CD37,0.006797202849835634
TCTN3,0.006829227790144036
HNRNPA3,0.007004338733061034
FLNA,0.007015243890653566
PDE4B,0.007161906343884834
CD59,0.00770493326379912
CNTLN,0.007724064885484915
ID3,0.0077725005541733954
FAH,0.008496322702799725
CCR2,0.009040312601034104
SNX10,0.009129728893948743
CAPN2,0.009186959311407755
MT-ND4L,0.00921286255617024
RGS9,0.009878337123684309
AIRE,0.010125399517470974
AMOTL1,0.01026530458633102
SLAMF1,0.01074663495853638
SELENOK,0.011288211966932487
PHTF2,0.011324284936520195
RBM3,0.01135449967462219
KIF3A,0.011519085667244917
GPRIN3,0.011605244477901193
CELF2,0.012659406639773347
FHIT,0.012901128311584345
GLIS2-AS1,0.013406451021594278
LCP2,0.013772652896817703
VDAC1,0.01383764490074531
RABAC1,0.014138260428009433
CRIM1,0.014311337646202517
GRAMD1A,0.015182689401396195
TMEM158,0.015219851448377167
ARPC4,0.015425393356338184
RPL7A,0.016006037641973093
TNFAIP3,0.01634928296405582
LAIR1,0.016903300649642107
PGK1,0.017631245780691345
ATP2B4,0.018039928263279853
PPP1R18,0.018428110987551836
RAB1B,0.019068083942837558
PTGIR,0.019697181601813874
PDK4,0.02005803309537896
RPL3,0.020994835656721063
RAN,0.021098671619361735
FKBP11,0.02142917751389975
PARP1,0.0227394763942614
BARD1,0.02290299971124422
ADA,0.023179959570829474
NEURL1,0.023202158312623004
MT1E,0.023452918322415015
GNAI2,0.0252974235011426
ATP9A,0.025499538139686112
FXYD7,0.026078302486245097
ARHGAP25,0.026374382672161537
TXK,0.02751516580221622
HSPA5,0.02957112847174273
YWHAH,0.02970797877269515
PPP4C,0.029998066846090358
KRTCAP2,0.030468719516638456
MBP,0.030842332657547614
SDF2L1,0.03096908258012021
TMEM167A,0.0337427663967437
CHDH,0.03477411574457603
PTGER2,0.035220759953453994
HNRNPC,0.03562682455325081
GNGT2,0.0359137601718975
APOBEC3G,0.035974677333916474
ADGRE5,0.0361417364316499
RNF214,0.03642692118039226
RPL41,0.03697995192640385
NEAT1,0.03721009405707603
PDIA6,0.03873423149583146
SLC26A11,0.03900357026271991
PTGDR2,0.04283331794716027
PSMD8,0.0428995274329994
MRPS6,0.04433852527489859
SMC4,0.04456536240770068
MYL6B,0.04462986197706752
SUN2,0.0448183215961144
